MEETING_DATE,MEETING_NAME,MEETING_DESCRIPTION
"01/07/2019 09:00","Réunion AEECA","Réunion de la Commission des Affaires étrangères et européennes, de la Coopération, de l'Immigration et de l'Asile"
"01/07/2019 14:00","Réunion CEB","Réunion de la Commission du Contrôle de l'exécution budgétaire"
"02/07/2019 08:45","Réunion SASP","Réunion de la Commission de la Santé et des Sports"
"02/07/2019 09:00","Réunion SASP + CEB","Réunion de la Commission de la Santé et des Sports et de la Commission du Contrôle de l'exécution budgétaire"
"02/07/2019 14:00","Réunion ECEAT + AEECA","Réunion de la Commission de l'Environnement, du Climat, de l'Energie et de l'Aménagement du territoire et de la Commission des Affaires étrangères et européennes, de la Coopération, de l'Immigration et de l'Asile"
"02/07/2019 14:15","Réunion DMCE","Réunion de la Commission de la Digitalisation, des Médias et des Communications"
"03/07/2019 08:00","Réunion J","Réunion de la Commission de la Justice"
"03/07/2019 08:30","Réunion REGL","Réunion de la Commission du Règlement"
"03/07/2019 09:00","Réunion J + SID","Réunion de la Commission de la Justice et de la Commission de la Sécurité intérieure et de la Défense"
"03/07/2019 10:30","Réunion PETI","Réunion de la Commission des Pétitions"
"03/07/2019 10:30","Réunion FAIN","Réunion de la Commission de la Famille et de l'Intégration"
"03/07/2019 10:30","Réunion ENEJER","Réunion de la Commission de l'Education nationale, de l'Enfance, de la Jeunesse, de l'Enseignement supérieur et de la Recherche"
"03/07/2019 13:30","Réunion IR","Réunion de la Commission des Institutions et de la Révision constitutionnelle"
"04/07/2019 08:15","Réunion CP","Réunion de la Conférence des Présidents"
"04/07/2019 09:00","Réunion ENEJER + MOBTP","Réunion de la Commission de l'Education nationale, de l'Enfance, de la Jeunesse, de l'Enseignement supérieur et de la Recherche et de la Commission de la Mobilité et des Travaux publics"
"04/07/2019 09:30","Réunion DACS","Réunion de la Délégation luxembourgeoise à l'Assemblée parlementaire de l'Organisation pour la Sécurité et la Coopération en Europe (OSCE)"
"04/07/2019 10:30","Réunion REGL","Réunion de la Commission du Règlement"
"04/07/2019 14:30","Réunion DACS","Réunion de la Délégation luxembourgeoise à l'Assemblée parlementaire de l'Organisation pour la Sécurité et la Coopération en Europe (OSCE)"
"04/07/2019 15:30","Réunion AVDR","Réunion de la Commission de l'Agriculture, de la Viticulture et du Développement rural"
"05/07/2019 09:00","Réunion DACS","Réunion de la Délégation luxembourgeoise à l'Assemblée parlementaire de l'Organisation pour la Sécurité et la Coopération en Europe (OSCE)"
"05/07/2019 11:45","Réunion FI","Réunion de la Commission des Finances et du Budget"
"05/07/2019 13:30","Réunion ECEAT + PETI","Réunion de la Commission de l'Environnement, du Climat, de l'Energie et de l'Aménagement du territoire et de la Commission des Pétitions"
"05/07/2019 14:00","Réunion IR","Réunion de la Commission des Institutions et de la Révision constitutionnelle"
"06/07/2019 09:00","Réunion DACS","Réunion de la Délégation luxembourgeoise à l'Assemblée parlementaire de l'Organisation pour la Sécurité et la Coopération en Europe (OSCE)"
"06/07/2019 14:30","Réunion DACS","Réunion de la Délégation luxembourgeoise à l'Assemblée parlementaire de l'Organisation pour la Sécurité et la Coopération en Europe (OSCE)"
"07/07/2019 09:00","Réunion DACS","Réunion de la Délégation luxembourgeoise à l'Assemblée parlementaire de l'Organisation pour la Sécurité et la Coopération en Europe (OSCE)"
"07/07/2019 15:00","Réunion DACS","Réunion de la Délégation luxembourgeoise à l'Assemblée parlementaire de l'Organisation pour la Sécurité et la Coopération en Europe (OSCE)"
"08/07/2019 09:00","Réunion DACS","Réunion de la Délégation luxembourgeoise à l'Assemblée parlementaire de l'Organisation pour la Sécurité et la Coopération en Europe (OSCE)"
"08/07/2019 09:00","Réunion AEECA","Réunion de la Commission des Affaires étrangères et européennes, de la Coopération, de l'Immigration et de l'Asile"
"08/07/2019 10:30","Réunion FI","Réunion de la Commission des Finances et du Budget"
"08/07/2019 14:00","Réunion BUR + AEECA + CE","Réunion du Bureau et de la Commission des Affaires étrangères et européennes, de la Coopération, de l'Immigration et de l'Asile et de la Délégation luxembourgeoise auprès de l'Assemblée parlementaire du Conseil de l'Europe (CE)"
"09/07/2019 08:30","Réunion SCIT","Réunion de la Sous-commission informatique"
"09/07/2019 13:45","Réunion J","Réunion de la Commission de la Justice"
"09/07/2019 13:45","Réunion ENEJER","Réunion de la Commission de l'Education nationale, de l'Enfance, de la Jeunesse, de l'Enseignement supérieur et de la Recherche"
"10/07/2019 09:00","Réunion J","Réunion de la Commission de la Justice"
"10/07/2019 10:00","Réunion CCSRE","Réunion de la Commission de contrôle parlementaire du Service de renseignement de l'État"
"10/07/2019 11:00","Réunion ECOPC + ECEAT + MOBTP + FI + LOG","Réunion de la Commission de l'Economie, de la Protection des consommateurs et de l'Espace et de la Commission de l'Environnement, du Climat, de l'Energie et de l'Aménagement du territoire et de la Commission de la Mobilité et des Travaux publics et de la Commission des Finances et du Budget et de la Commission du Logement"
"11/07/2019 09:00","Réunion MOBTP","Réunion de la Commission de la Mobilité et des Travaux publics"
"12/07/2019 10:30","Réunion ECOPC + CMT","Réunion de la Commission de l'Economie, de la Protection des consommateurs et de l'Espace et de la Commission des Classes moyennes et du Tourisme"
"12/07/2019 15:30","Réunion AEECA","Réunion de la Commission des Affaires étrangères et européennes, de la Coopération, de l'Immigration et de l'Asile"
"15/07/2019 09:00","Réunion J + SID","Réunion de la Commission de la Justice et de la Commission de la Sécurité intérieure et de la Défense"
"15/07/2019 10:15","Réunion CP","Réunion de la Conférence des Présidents"
"15/07/2019 14:00","Réunion BUR","Réunion du Bureau"
"16/07/2019 09:00","Réunion CEB","Réunion de la Commission du Contrôle de l'exécution budgétaire"
"16/07/2019 09:00","Réunion CPI","Réunion de la Délégation luxembourgeoise auprès du Conseil Parlementaire Interrégional (CPI)"
"17/07/2019 09:00","Réunion J","Réunion de la Commission de la Justice"
"17/07/2019 10:30","Réunion PETI","Réunion de la Commission des Pétitions"
"17/07/2019 14:00","Réunion CCSRE","Réunion de la Commission de contrôle parlementaire du Service de renseignement de l'État"
"17/07/2019 15:30","Réunion IR","Réunion de la Commission des Institutions et de la Révision constitutionnelle"
"18/07/2019 10:30","Réunion TESS","Réunion de la Commission du Travail, de l'Emploi et de la Sécurité sociale"
