Age;Sexe;Nationalité(s);Quartier
43;F;P;BONNEVOIE-NORD/VERLORENKOST
27;F;L;BONNEVOIE-NORD/VERLORENKOST
94;F;L;PFAFFENTHAL
35;M;F;LIMPERTSBERG
35;M;TR;KIRCHBERG
34;M;F;BELAIR
34;F;NL;BELAIR
33;F;F;HOLLERICH
9;M;XXK;GARE
33;M;CDN;BELAIR
32;F;I;BELAIR
45;M;L;CESSANGE
32;F;IND;GARE
55;M;F;DOMMELDANGE
54;F;P;BONNEVOIE-NORD/VERLORENKOST
84;F;L;VILLE-HAUTE
54;F;E;HOLLERICH
54;F;SVN;CESSANGE
54;F;P;BONNEVOIE-SUD
52;M;L, I;DOMMELDANGE
52;F;L, B;HOLLERICH
53;M;I;BONNEVOIE-NORD/VERLORENKOST
53;M;S;GASPERICH
26;F;F;HOLLERICH
51;F;L;CENTS
62;M;L, BIH;BONNEVOIE-SUD
69;F;L;BELAIR
68;M;L;ROLLINGERGRUND/BELAIR-NORD
53;F;D;BELAIR
20;M;L, I;NEUDORF/WEIMERSHOF
69;F;L, S;LIMPERTSBERG
53;F;F;GARE
52;M;I;CLAUSEN
52;M;B;GASPERICH
52;M;B;VILLE-HAUTE
38;F;E;KIRCHBERG
31;M;P;GASPERICH
60;M;GB;BONNEVOIE-SUD
33;F;R;LIMPERTSBERG
9;F;D, I;BELAIR
52;M;P;BONNEVOIE-SUD
5;F;E, MA;GARE
51;M;F;MERL
51;M;E;GARE
51;F;P;CLAUSEN
42;M;D;BELAIR
51;F;RUS;CENTS
51;F;DK;GARE
51;F;F;KIRCHBERG
50;M;L, F, GB;DOMMELDANGE
49;M;L;LIMPERTSBERG
11;F;DOM;GARE
20;F;L, B;CLAUSEN
49;F;L;BELAIR
49;F;L;BEGGEN
86;M;L;VILLE-HAUTE
68;M;P;GARE
68;M;USA;PFAFFENTHAL
67;M;F;BEGGEN
64;M;L;DOMMELDANGE
50;F;L;WEIMERSKIRCH
50;M;F;WEIMERSKIRCH
50;M;I;LIMPERTSBERG
69;F;F;HOLLERICH
68;M;L;PULVERMUEHL
66;M;L;LIMPERTSBERG
66;F;L, D;KIRCHBERG
39;M;BG;KIRCHBERG
49;M;F;BONNEVOIE-NORD/VERLORENKOST
49;M;L;VILLE-HAUTE
32;M;DK, F;BONNEVOIE-NORD/VERLORENKOST
49;M;L;VILLE-HAUTE
49;M;I;GARE
49;F;N;BELAIR
49;F;P;EICH
48;M;P;BONNEVOIE-SUD
48;M;D;NEUDORF/WEIMERSHOF
41;F;L;EICH
48;F;S;VILLE-HAUTE
48;M;D;LIMPERTSBERG
47;M;L;VILLE-HAUTE
48;F;HRV;KIRCHBERG
48;M;I;CENTS
63;M;L;DOMMELDANGE
62;F;L;CENTS
63;M;B;NEUDORF/WEIMERSHOF
42;F;R;KIRCHBERG
61;F;P;GARE
61;F;I;GARE
61;M;P;VILLE-HAUTE
61;F;D;NEUDORF/WEIMERSHOF
60;F;L;BELAIR
61;F;CH;CESSANGE
48;F;P;BONNEVOIE-SUD
34;M;B;BONNEVOIE-NORD/VERLORENKOST
52;M;E;MERL
61;F;GB;MERL
47;F;F;BONNEVOIE-NORD/VERLORENKOST
46;M;L, XXK;BONNEVOIE-SUD
